app,start,duration,query,range
0,540000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,540000,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,540000,55947,q10,d_year = 2000 and d_moy = 1
0,540000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,540000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,630000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,630000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,630000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,630000,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,630000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,630000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,630000,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,630000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,630000,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,630000,59893,q7,d_year = 2000 and d_moy between 1 and 11
0,720000,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,720000,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,720000,55947,q10,d_year = 2000 and d_moy = 1
0,720000,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,720000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,720000,55495,q12,d_year = 2000 and d_moy between 1 and 11
0,720000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,720000,45807,q10,d_date = cast('2000-04-30' as date)
0,720000,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,720000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,810000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,810000,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,810000,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,810000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,810000,55947,q10,d_year = 2000 and d_moy = 1
1,810000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,810000,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,810000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,810000,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,810000,51025,q1,d_year = 2000 and d_moy between 1 and 3
